LAMMPS data file via write_data, version 7 Feb 2024, timestep = 500000, units = si

6600 atoms
3 atom types

0 0.1 xlo xhi
0 0.1 ylo yhi
0 0.2 zlo zhi

Atoms # sphere

5596 1 0.005 2500 0.004018043381852685 0.0024956538035794057 0.0024957157920120214 0 0 0
6100 1 0.005 2500 0.011277350431785455 0.0025137764152277833 0.0024977069203276805 0 0 0
5215 1 0.005 2500 0.02065521452572024 0.002498132770965312 0.0024987033394962958 0 0 0
5768 1 0.005 2500 0.025654546568236184 0.0025041434412495676 0.0024992188598613433 0 0 0
4829 1 0.005 2500 0.03069705636989674 0.002601472994076681 0.002499704644473902 0 0 0
5309 1 0.005 2500 0.03624123544744552 0.0037063690961755976 0.0024960425660505493 0 0 0
5870 1 0.005 2500 0.04459824490459993 0.0024997680760678186 0.0024984062338409396 0 0 0
5306 1 0.005 2500 0.05225480462900953 0.0024988913524282693 0.0024992871754272567 0 0 0
5411 1 0.005 2500 0.05804895484506223 0.00249768590779315 0.0024966952860671163 0 0 0
6001 1 0.005 2500 0.06324620082122988 0.002498926206498308 0.002499257200823583 0 0 0
6231 1 0.005 2500 0.0682454489241949 0.002499765757942385 0.0024997273468198885 0 0 0
5569 1 0.005 2500 0.07324468494632215 0.002498736454878513 0.002497455672597936 0 0 0
5977 1 0.005 2500 0.08010120848052965 0.0034596335387418347 0.0024972761871647283 0 0 0
6470 1 0.005 2500 0.08831080085482562 0.002498022013224655 0.0025250830951773604 0 0 0
5724 1 0.005 2500 0.09750229158530654 0.0024988946162952603 0.0024995569507240143 0 0 0
4915 1 0.005 2500 0.0024973128044468705 0.007254365405414607 0.0024969426523535226 0 0 0
5656 1 0.005 2500 0.007384161009009063 0.006188993982750176 0.0025046190211722064 0 0 0
5637 1 0.005 2500 0.012201020165590524 0.00752022776978551 0.0024992643732374307 0 0 0
6479 1 0.005 2500 0.015969233564278387 0.004236967168684905 0.0024983348422185354 0 0 0
5368 1 0.005 2500 0.021615075967045493 0.0074034762261664605 0.002498882655513885 0 0 0
5043 1 0.005 2500 0.026616484391211167 0.007431756187127423 0.0024997046433136673 0 0 0
6349 1 0.005 2500 0.031614438578423824 0.007623958141813121 0.0024997026682979937 0 0 0
5823 1 0.005 2500 0.040802226687217655 0.0057504007829835765 0.002498944812653709 0 0 0
6046 1 0.005 2500 0.04817351321103964 0.006452029122936266 0.0024975635736604524 0 0 0
6446 1 0.005 2500 0.05538542991665943 0.006727657856003455 0.002496504225020126 0 0 0
5447 1 0.005 2500 0.060645190390701986 0.006767467610893749 0.002497747672213388 0 0 0
6193 1 0.005 2500 0.06566243583410329 0.0069187721721476235 0.0024997046444739024 0 0 0
6457 1 0.005 2500 0.07072532995915422 0.0073100443383194965 0.002499704644473902 0 0 0
5189 1 0.005 2500 0.07582531524425155 0.00677751847685516 0.00255277427374071 0 0 0
4815 1 0.005 2500 0.08453239710163658 0.005768562957810629 0.0024982214539143845 0 0 0
6469 1 0.005 2500 0.0891282216093194 0.007733494330787936 0.0024999728981206734 0 0 0
4802 1 0.005 2500 0.09290639744866887 0.004460494688206706 0.002497303883588278 0 0 0
5079 1 0.005 2500 0.09734138872022809 0.007495792306460143 0.0024996812829102496 0 0 0
5291 1 0.005 2500 0.005888581558399044 0.010957908169570424 0.0024991522952119067 0 0 0
5579 1 0.005 2500 0.01692867727465963 0.009142741037407033 0.002497205707249818 0 0 0
5439 1 0.005 2500 0.03678346710931453 0.008720359757585783 0.0024988247400850342 0 0 0
5124 1 0.005 2500 0.04409883387276933 0.009506705056969057 0.002496071891883922 0 0 0
5142 1 0.005 2500 0.051647227535648134 0.010047926787033392 0.0024997046318473042 0 0 0
5013 1 0.005 2500 0.05651496074457333 0.011607138636028762 0.0024997046444739024 0 0 0
5621 1 0.005 2500 0.0762574565935632 0.011756935391266383 0.0024993895757467665 0 0 0
